Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
40_PFPr_future.txt,1,320,1.8,1.53,99,24.2,17.78,14.69,95.63,79.69,67.81,25.94,14.69,10.63,2.81,0.63,0,0.63,11.25,15.94,4.06,0,12.19,15.63,8.13,7.5,3.44,25.31,4.38,1.56,4.69,3.75,0.63,0.63,19.38,1.88,17.19,5,0.63,2.5,2.81,0.94,6.56,0,4.69,2.5,2.19,1.56,0.94,0.63,0.31,0,0,0,9.69,5,0.31,0.31,0.31,0.31,1.25,4.38,0,0,0,0,0.31,0,0,0.31,1.25,0,0,1.25,0,0,3.44,2.19,1.88,0,0,0,0,0,0.63,1.56,0,1.56,0,0,0,0.63,0.63,0.63,8.44,10.94,0.94,1.56,6.25,0.94,0.94,1.56,5.63,5.31,11.56,3.44,0.31,0.31,0,0,0,24.38,8.44,9.38,0,0,5.63,0.94
40_PFPr_past.txt,1,267,8.31,2.64,96.97,30.42,16.69,9.36,94.38,76.03,64.04,18.73,12.73,10.86,1.5,0,0,0,5.99,8.99,3,3.37,13.11,14.61,8.24,8.24,1.12,21.35,3.75,2.62,4.12,3.75,0.37,0,14.98,2.25,12.73,1.5,1.12,4.49,0.75,0.37,4.49,0,1.5,1.12,0.37,1.12,1.12,0,0,0,0,0,7.12,0.75,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,5.62,0.75,0.37,3,0,1.5,1.87,1.5,1.12,0,0,0,0,0,0,0,0.75,1.5,0,0,0,0,0,0,8.99,8.24,0,3,5.62,0.37,0,0.75,7.49,12.36,0.37,1.12,0,0,0,0,0,19.48,7.12,8.99,0,0,1.12,2.25
40_PFPr_present.txt,1,316,46.48,2.23,98.84,1,13.17,10.76,95.89,77.53,62.03,18.67,12.34,10.13,1.9,0,0,0,6.33,14.87,7.59,1.27,15.19,9.81,5.7,4.11,2.22,19.94,5.38,3.48,3.16,2.53,0,0.63,18.35,2.22,16.14,5.06,3.16,1.58,1.27,0.63,4.75,0,4.43,0.32,3.8,1.9,0.63,1.27,0,0,0.32,0.32,7.91,2.53,0.32,0,0,0,0.95,3.8,0,0,0,0,0.32,0,0,0.32,1.58,0,0.32,0.95,0.32,0,3.48,2.53,1.9,0,0.32,0,0,0,0.63,0,0,1.27,0,0,0,0,0,0,10.76,9.49,1.58,0.32,6.65,1.58,0.32,0.63,5.38,8.86,2.85,1.58,0.32,0.32,0,0,0,16.77,8.54,5.06,0,0,1.9,1.27
41_PrFP_future.txt,1,139,58.66,15.62,99,20.23,19.86,15.83,95.68,82.01,64.75,16.55,7.91,6.47,0.72,0,0,0.72,8.63,15.11,5.76,0,20.14,12.23,4.32,5.76,0.72,24.46,8.63,2.88,0.72,0.72,0,0,12.95,1.44,11.51,5.76,5.76,0,0,0,0.72,0,2.88,1.44,1.44,0,0,0,0,0,0,0,5.76,2.16,0,0.72,0,0,0.72,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,2.88,2.16,0,0,0,0,0,0,1.44,0,0.72,0,0,0,0,0.72,0,10.79,12.95,0,2.88,11.51,0,0,0.72,7.91,2.16,2.16,7.19,0,0,0,0,0,12.95,5.04,0,0,0,0.72,7.19
41_PrFP_past.txt,1,120,34.92,1,93.95,1,17.14,15.83,95.83,75.83,66.67,15.83,10,10,0,0,0,0,5.83,17.5,6.67,0,17.5,12.5,7.5,5.83,4.17,17.5,5.83,4.17,2.5,0,1.67,0.83,15.83,1.67,14.17,3.33,1.67,3.33,0.83,0.83,3.33,0,4.17,0,4.17,0.83,0,0.83,0.83,0,0,0,5,2.5,0,0.83,0,0.83,0.83,0,0,0,0,0,0,0,0,0,0.83,0,0,0.83,0,0,5.83,5.83,3.33,0,1.67,0,0,0,0,0.83,0,1.67,0,0,0,0,0,0,7.5,10,1.67,2.5,6.67,0,0,0.83,4.17,9.17,4.17,0,0,0,0,0,0,12.5,5.83,2.5,0,0,2.5,1.67
41_PrFP_present.txt,1,214,69.55,1.9,90.15,10.86,16.46,18.22,93.93,78.04,64.49,15.89,10.75,10.28,0.47,0,0,0,5.14,14.02,6.07,0.93,21.5,7.94,6.07,5.61,1.87,16.82,5.14,6.54,4.21,2.8,1.4,0,13.55,2.34,11.21,3.27,2.8,1.4,0.47,0.47,2.34,0,6.07,2.34,3.27,2.8,0.93,1.4,0.93,0,0.47,0,4.21,1.4,0,0,0,0,0.47,1.87,0,0.93,0,0,0,0,0,0,0.47,0,0,0.47,0,0,2.34,1.87,1.4,0,0,0,0,0,0,0,1.4,0.93,0,0,0,0,0,0,4.67,6.54,0,2.34,3.74,0.93,0,0,4.67,11.68,0.47,1.87,0,0,0,0,0,10.28,6.07,2.8,0,0,0.47,0.93
42_PrFP_future.txt,1,170,55.58,2.69,99,5.6,15.45,15.29,90.59,76.47,62.94,10,5.88,5.29,0,0,0,0.59,4.12,14.71,6.47,2.94,18.82,12.35,7.65,8.24,1.76,18.24,7.65,8.82,1.18,0.59,0.59,0,12.94,1.18,11.18,2.35,0,1.76,1.76,0,6.47,0,2.94,0.59,2.35,0.59,0.59,0,0,0,0,0,4.12,0,0,0,0,0,0,2.35,0,0.59,0,0,0,0,0,0,1.18,0,0,0,1.18,0,2.35,1.76,1.76,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,6.47,11.76,0,4.12,10,0.59,0,0,9.41,2.94,8.24,2.35,0,0,0,0,0,19.41,7.65,6.47,0,0,2.35,2.94
42_PrFP_past.txt,1,159,93.23,18.01,99,38.43,17.67,20.13,91.19,68.55,52.2,8.81,8.81,7.55,1.26,0,0,0,0,12.58,6.92,0.63,22.01,3.77,4.4,8.81,0,13.84,3.77,3.14,5.03,4.4,0.63,0.63,3.77,0,3.77,0,0,0,3.77,0,1.26,0,5.03,3.14,1.89,0.63,0.63,0,0,0,0,0,6.29,2.52,0,0,0,0,0.63,3.14,0.63,1.26,0,0.63,0,0,0,0,9.43,3.77,1.89,2.52,1.26,0,5.66,1.89,1.89,0,0,0,0,3.77,0,0,0,0.63,0,0,0,0,0,0,13.21,15.72,0,7.55,13.84,0,0,0,13.21,1.89,1.26,1.89,0,0,0,0,0,17.61,5.66,8.18,0,0,0.63,3.14
42_PrFP_present.txt,1,195,42.73,1.24,99,4.35,13,15.38,93.33,77.95,58.46,17.44,13.33,11.28,0,0,0,1.54,4.1,15.9,5.64,2.56,12.82,7.69,5.13,5.64,1.54,20.51,9.74,7.18,1.54,0.51,1.03,0,11.28,1.54,9.23,5.13,1.03,0,0,0,3.59,0,6.15,2.05,4.1,2.56,1.03,1.54,1.54,0,0,0,7.18,3.59,0,0,0,0,2.05,3.08,0,0.51,0,0,2.05,0,0,2.05,6.15,3.08,0.51,2.56,0,0,3.59,2.56,2.56,0,0,0,0,0.51,0,0,0,1.54,0,0,1.03,0.51,0.51,0,7.69,10.26,0,2.05,6.15,1.03,0.51,1.03,7.69,10.77,2.56,0.51,0.51,0,0.51,0,0,17.44,7.69,7.18,0,0,1.03,1.54
45_PrFP_future.txt,1,362,10.06,3.05,95.75,14.21,16.45,16.02,91.71,76.8,62.98,19.06,12.43,10.22,1.1,0.55,0,0,6.63,14.09,5.52,1.66,11.88,9.67,9.94,8.84,3.31,18.78,4.14,4.14,4.14,3.87,0,0.28,14.36,2.49,11.88,1.38,1.66,1.1,2.76,0.28,4.14,0.28,3.31,1.38,1.93,1.38,0.55,0.83,0,0.55,0,0,8.01,1.66,0.28,0,0.28,0,1.1,5.25,1.38,0.55,0,0.55,1.66,1.38,0,0.28,1.38,0.83,0,0.28,0,0.28,3.59,2.49,2.21,0,0,0,0,0.28,0,0.28,0,1.93,0.55,0.28,0,0,0.55,1.1,7.18,9.67,0,1.66,6.91,0,0.28,0.55,4.42,6.35,5.8,0.83,0.83,0.28,0.28,0.28,0,16.02,6.08,3.04,0,0,2.49,4.42
45_PrFP_past.txt,1,221,31.07,19.37,96.4,26.12,17,17.65,95.02,72.85,57.92,14.03,7.69,5.88,1.81,0,0,0,6.33,12.22,6.79,0,15.38,7.69,10.41,11.31,1.81,16.74,4.07,3.17,3.17,2.26,0,0.9,14.48,1.81,12.67,4.52,2.71,0.9,0,0.9,2.71,1.81,4.07,1.81,1.36,1.81,0.9,0,0,0,0,0,6.79,0.9,0,0,0,0,0.9,4.52,0,0.45,0,0,0.45,0,0,0.45,11.31,0.45,1.81,9.05,0,0,2.26,0.9,0.9,0,0,0,0.9,0,0,0,0,1.36,0,0,0,0,0,0.9,10.41,9.95,0.45,1.36,5.88,0.9,0,1.81,8.6,6.79,4.52,0.9,0,0,0,0,0,11.76,5.88,1.36,0,0,2.71,1.81
45_PrFP_present.txt,1,275,18.54,3.74,87.15,41.71,19.64,20,90.91,73.82,62.18,14.55,10.55,9.09,0.36,0,0,0.73,4,14.18,5.09,2.18,11.64,10.91,8,9.45,2.18,17.82,4.36,5.09,2.18,1.09,0.73,0.36,16.36,2.91,13.45,2.55,4.73,1.82,2.18,0.36,1.82,0.73,3.27,2.18,0.73,1.09,0.73,0,0,0,0,0,5.82,1.45,0,0,0,0,0.36,2.55,0.73,0,0.36,0,1.45,0,0.36,1.09,5.09,1.82,0.36,2.91,0,0,0.36,0.36,0.36,0,0,0,0,0,0,0.73,0.73,0.73,0,0,0,0.73,0,0.36,6.91,5.09,0.36,1.09,2.91,0.36,0.36,0.36,8.73,6.91,1.82,2.18,0.36,0.36,0,0,0,10.91,5.09,1.82,0,0,0.36,3.64
47_PFPr_future.txt,1,426,10.51,1.61,98.25,2.65,18.52,17.14,94.13,80.75,65.02,16.67,11.97,9.86,0,0.47,0,1.41,4.69,11.27,3.52,0,14.79,11.03,8.69,11.97,3.05,20.42,7.98,3.05,3.99,1.64,1.41,0.94,20.19,3.29,16.9,5.16,2.82,1.88,4.23,0.7,4.23,0,6.34,1.88,4.46,3.05,0.47,2.11,0.23,0,1.41,0,8.69,3.05,0.47,0,0,0.23,1.41,3.99,0,0.7,0.47,0,0.47,0,0,0.47,1.64,0,0,1.64,0,0,4.23,1.17,0.94,0,0.23,0,0,0,0.47,1.17,0.47,0,0,0.23,0,0,0,0,8.45,9.62,0.23,1.41,7.04,0.94,0,1.41,3.99,5.63,3.05,2.11,0.23,0.23,0,0,0,9.15,4.93,2.58,0.23,0,0.94,0.47
47_PFPr_past.txt,1,370,14.46,6.53,94.14,27.38,15.42,18.11,97.57,77.03,63.24,14.86,9.19,8.92,0,0,0,0,5.68,12.16,5.68,0.27,12.97,13.24,8.92,10.27,1.89,21.08,5.95,4.59,5.41,3.78,1.08,0.54,16.49,1.89,14.59,3.78,2.7,1.35,3.51,1.35,3.51,0.81,8.11,4.05,3.51,5.41,2.16,2.7,1.08,0,0.27,0,9.19,1.62,0.27,0,0,0,0.54,5.95,0.27,2.43,0.54,0,0,0,0,0,4.05,1.35,0,2.7,0,0,1.08,0.54,0.27,0,0,0,0,0,0,0.81,0.54,0.54,0,0.27,0.27,0.54,0.27,0,6.49,7.3,0,1.35,5.41,0.27,0.27,0.27,5.14,13.24,2.43,1.62,0.54,0.54,0,0,0,10.81,6.22,0,0,0,1.62,2.97
47_PFPr_present.txt,1,422,11.06,1,99,10.76,18.35,17.54,96.21,77.49,64.69,16.59,11.14,10.66,0.24,0,0.24,0,5.45,9.95,4.27,0.47,15.64,12.09,9,11.14,3.79,22.75,3.79,3.08,5.92,2.61,1.18,2.13,18.25,0.95,17.06,2.61,4.5,1.9,2.84,0.71,4.74,0,3.79,1.42,2.37,2.37,1.18,1.18,0.71,0,0.47,0,5.92,2.37,0.24,0,0,0,0.24,2.61,0,1.66,1.18,0,0.24,0.24,0,0,2.13,0.24,0,1.66,0.24,0,4.27,2.13,1.42,0.24,0.47,0,0,0,0,0.47,0,0.71,0,0,0,0,0.47,0,5.92,12.8,0,1.9,9.95,0.71,0.24,0.24,4.98,12.8,0.47,2.61,0,0,0,0,0,11.61,5.21,2.37,0,0,3.08,0.95
